x;y
-3;16
-2,95;15,6025
-2,9;15,21
-2,85;14,8225
-2,8;14,44
-2,75;14,0625
-2,7;13,69
-2,65;13,3225
-2,6;12,96
-2,55;
-2,5;
-2,45;
-2,4;
-2,35;
-2,3;10,89
-2,25;10,5625
-2,2;10,24
-2,15;9,9225
-2,1;9,61
-2,05;9,3025
-2;9
-1,95;8,7025
-1,9;8,41
-1,85;8,1225
-1,8;7,84
-1,75;7,5625
-1,7;7,29
-1,65;7,0225
-1,6;6,76
-1,55;6,5025
-1,5;6,25
-1,45;6,0025
-1,4;5,76
-1,35;
-1,3;5,29
-1,25;
-1,2;4,84
-1,15;4,6225
-1,1;4,41
-1,05;4,2025
-1;4
-0,95;3,8025
-0,9;3,61
-0,85;3,4225
-0,8;3,24
-0,75;3,0625
-0,7;2,89
-0,65;2,7225
-0,6;
-0,55;
-0,5;
-0,45;
-0,4;
-0,35;
-0,3;
-0,25;
-0,2;
-0,15;
-0,1;
-0,05;
-1,02141E-14;1
0,05;0,9025
0,1;0,81
0,15;0,7225
0,2;0,64
0,25;0,5625
0,3;0,49
0,35;0,4225
0,4;0,36
0,45;0,3025
0,5;0,25
0,55;0,2025
0,6;0,16
0,65;
0,7;0,09
0,75;0,0625
0,8;0,04
0,85;0,0225
0,9;
0,95;0,0025
1;9,98402E-29
1,05;0,0025
1,1;0,01
1,15;0,0225
1,2;0,04
1,25;0,0625
1,3;0,09
1,35;0,1225
1,4;0,16
1,45;0,2025
1,5;0,25
1,55;0,3025
1,6;0,36
1,65;0,4225
1,7;0,49
1,75;0,5625
1,8;
1,85;0,7225
1,9;0,81
1,95;0,9025
2;1
2,05;1,1025
2,1;
2,15;1,3225
2,2;1,44
2,25;1,5625
2,3;1,69
2,35;1,8225
2,4;1,96
2,45;2,1025
2,5;
2,55;2,4025
2,6;2,56
2,65;2,7225
2,7;2,89
2,75;
2,8;
2,85;
2,9;
2,95;
3;
3,05;
3,1;
3,15;
3,2;
3,25;
3,3;5,29
3,35;5,5225
3,4;5,76
3,45;6,0025
3,5;6,25
3,55;6,5025
3,6;6,76
3,65;7,0225
3,7;7,29
3,75;
3,8;7,84
3,85;8,1225
3,9;8,41
3,95;8,7025
4;9
4,05;9,3025
4,1;9,61
4,15;9,9225
4,2;10,24
4,25;10,5625
4,3;10,89
4,35;
4,4;11,56
4,45;
4,5;12,25
4,55;12,6025
4,6;12,96
4,65;13,3225
4,7;13,69
4,75;14,0625
4,8;14,44
4,85;14,8225
4,9;15,21
4,95;15,6025
5;16
5,05;16,4025
5,1;16,81
5,15;17,2225
5,2;17,64
5,25;
5,3;18,49
5,35;18,9225
5,4;19,36
5,45;19,8025
5,5;20,25
5,55;20,7025
5,6;21,16
5,65;21,6225
5,7;22,09
5,75;22,5625
5,8;23,04
5,85;
5,9;24,01
5,95;24,5025
6;
6,05;25,5025
6,1;26,01
6,15;26,5225
6,2;27,04
6,25;
6,3;
6,35;
6,4;
6,45;
6,5;
6,55;
6,6;
6,65;
6,7;
6,75;
6,8;
6,85;
6,9;
6,95;35,4025
7;36
