x;y
-10;34
-9,9;33,205
-9,8;32,42
-9,7;31,645
-9,6;30,88
-9,5;
-9,4;29,38
-9,3;28,645
-9,2;
-9,1;27,205
-9;26,5
-8,9;
-8,8;25,12
-8,7;
-8,6;23,78
-8,5;
-8,4;22,48
-8,3;
-8,2;21,22
-8,1;20,605
-8;
-7,9;19,405
-7,8;18,82
-7,7;18,245
-7,6;17,68
-7,5;17,125
-7,4;16,58
-7,3;16,045
-7,2;15,52
-7,1;15,005
-7;14,5
-6,9;14,005
-6,8;13,52
-6,7;13,045
-6,6;12,58
-6,5;12,125
-6,4;11,68
-6,3;11,245
-6,2;10,82
-6,1;10,405
-6;10
-5,9;9,605
-5,8;9,22
-5,7;8,845
-5,6;8,48
-5,5;8,125
-5,4;7,78
-5,3;7,445
-5,2;7,12
-5,1;6,805
-5;6,5
-4,9;6,205
-4,8;5,92
-4,7;5,645
-4,6;5,38
-4,5;5,125
-4,4;4,88
-4,3;4,645
-4,2;4,42
-4,1;4,205
-4;4
-3,9;3,805
-3,8;3,62
-3,7;3,445
-3,6;3,28
-3,5;3,125
-3,4;2,98
-3,3;2,845
-3,2;2,72
-3,1;2,605
-3;2,5
-2,9;2,405
-2,8;2,32
-2,7;2,245
-2,6;2,18
-2,5;2,125
-2,4;2,08
-2,3;2,045
-2,2;2,02
-2,1;2,005
-2;2
-1,9;2,005
-1,8;2,02
-1,7;2,045
-1,6;2,08
-1,5;2,125
-1,4;2,18
-1,3;2,245
-1,2;2,32
-1,1;2,405
-1;2,5
-0,9;2,605
-0,8;2,72
-0,7;2,845
-0,6;2,98
-0,5;3,125
-0,4;3,28
-0,3;3,445
-0,2;3,62
-0,1;3,805
-4,08562E-14;4
0,1;4,205
0,2;4,42
0,3;4,645
0,4;4,88
0,5;5,125
0,6;5,38
0,7;5,645
0,8;5,92
0,9;6,205
1;6,5
1,1;6,805
1,2;7,12
1,3;7,445
1,4;7,78
1,5;8,125
1,6;8,48
1,7;8,845
1,8;9,22
1,9;9,605
2;10
2,1;10,405
2,2;10,82
2,3;11,245
2,4;11,68
2,5;12,125
2,6;12,58
2,7;13,045
2,8;13,52
2,9;14,005
3;14,5
3,1;15,005
3,2;15,52
3,3;16,045
3,4;16,58
3,5;17,125
3,6;17,68
3,7;18,245
3,8;18,82
3,9;19,405
4;20
4,1;20,605
4,2;21,22
4,3;21,845
4,4;22,48
4,5;23,125
4,6;23,78
4,7;24,445
4,8;25,12
4,9;25,805
5;26,5
5,1;27,205
5,2;27,92
5,3;28,645
5,4;29,38
5,5;30,125
5,6;30,88
5,7;31,645
5,8;32,42
5,9;33,205
6;34
6,1;34,805
6,2;35,62
6,3;36,445
6,4;37,28
6,5;38,125
6,6;38,98
6,7;39,845
6,8;40,72
6,9;41,605
7;42,5
7,1;43,405
7,2;44,32
7,3;45,245
7,4;46,18
7,5;47,125
7,6;48,08
7,7;49,045
7,8;50,02
7,9;51,005
8;52
8,1;53,005
8,2;54,02
8,3;55,045
8,4;56,08
8,5;57,125
8,6;58,18
8,7;59,245
8,8;60,32
8,9;61,405
9;62,5
9,1;63,605
9,2;64,72
9,3;65,845
9,4;66,98
9,5;68,125
9,6;69,28
9,7;70,445
9,8;71,62
9,9;72,805
10;74
10,1;75,205
10,2;76,42
10,3;77,645
10,4;78,88
10,5;80,125
10,6;81,38
10,7;82,645
10,8;83,92
10,9;85,205
11;86,5
11,1;87,805
11,2;89,12
11,3;90,445
11,4;91,78
11,5;93,125
11,6;94,48
11,7;95,845
11,8;97,22
11,9;98,605
12;100
12,1;101,405
12,2;102,82
12,3;104,245
12,4;105,68
12,5;107,125
12,6;108,58
12,7;110,045
12,8;111,52
12,9;113,005
13;114,5
13,1;116,005
13,2;117,52
13,3;119,045
13,4;120,58
13,5;122,125
13,6;123,68
13,7;125,245
13,8;126,82
13,9;128,405
14;130
14,1;131,605
14,2;133,22
14,3;134,845
14,4;136,48
14,5;138,125
14,6;139,78
14,7;141,445
14,8;143,12
14,9;144,805
15;146,5
15,1;148,205
15,2;149,92
15,3;151,645
15,4;153,38
15,5;155,125
15,6;156,88
15,7;158,645
15,8;160,42
15,9;162,205
16;164
16,1;165,805
16,2;167,62
16,3;169,445
16,4;171,28
16,5;173,125
16,6;174,98
16,7;176,845
16,8;178,72
16,9;180,605
17;182,5
17,1;184,405
17,2;186,32
17,3;188,245
17,4;190,18
17,5;192,125
17,6;194,08
17,7;196,045
17,8;198,02
17,9;200,005
18;202
18,1;204,005
18,2;206,02
18,3;208,045
18,4;210,08
18,5;212,125
18,6;214,18
18,7;216,245
18,8;218,32
18,9;220,405
19;222,5
19,1;224,605
19,2;226,72
19,3;228,845
19,4;230,98
19,5;233,125
19,6;235,28
19,7;237,445
19,8;239,62
19,9;241,805
20;244
20,1;246,205
20,2;248,42
20,3;250,645
20,4;252,88
20,5;255,125
20,6;257,38
20,7;259,645
20,8;261,92
20,9;264,205
21;266,5
21,1;268,805
21,2;271,12
21,3;273,445
21,4;275,78
21,5;278,125
21,6;280,48
21,7;282,845
21,8;285,22
21,9;287,605
22;290
22,1;292,405
22,2;294,82
22,3;297,245
22,4;299,68
22,5;302,125
22,6;304,58
22,7;307,045
22,8;309,52
22,9;312,005
23;314,5
23,1;317,005
23,2;319,52
23,3;322,045
23,4;324,58
23,5;327,125
23,6;329,68
23,7;332,245
23,8;334,82
23,9;337,405
24;340
24,1;342,605
24,2;345,22
24,3;347,845
24,4;350,48
24,5;353,125
24,6;355,78
24,7;358,445
24,8;361,12
24,9;363,805
25;366,5
25,1;369,205
25,2;371,92
25,3;374,645
25,4;377,38
25,5;380,125
25,6;382,88
25,7;385,645
25,8;388,42
25,9;391,205
26;394
26,1;396,805
26,2;399,62
26,3;402,445
26,4;405,28
26,5;408,125
26,6;410,98
26,7;413,845
26,8;416,72
26,9;419,605
27;422,5
27,1;425,405
27,2;428,32
27,3;431,245
27,4;434,18
27,5;437,125
27,6;440,08
27,7;443,045
27,8;446,02
27,9;449,005
28;452
28,1;455,005
28,2;458,02
28,3;461,045
28,4;464,08
28,5;467,125
28,6;470,18
28,7;473,245
28,8;476,32
28,9;479,405
29;482,5
29,1;485,605
29,2;488,72
29,3;491,845
29,4;494,98
29,5;498,125
29,6;501,28
29,7;504,445
29,8;507,62
29,9;510,805
30;514
30,1;517,205
30,2;520,42
30,3;523,645
30,4;526,88
30,5;530,125
30,6;533,38
30,7;536,645
30,8;539,92
30,9;543,205
31;546,5
31,1;549,805
31,2;553,12
31,3;556,445
31,4;559,78
31,5;563,125
31,6;566,48
31,7;569,845
31,8;573,22
31,9;576,605
32;580
32,1;583,405
32,2;586,82
32,3;590,245
32,4;593,68
32,5;597,125
32,6;600,58
32,7;604,045
32,8;607,52
32,9;611,005
33;614,5
33,1;618,005
33,2;621,52
33,3;625,045
33,4;628,58
33,5;632,125
33,6;635,68
33,7;639,245
33,8;642,82
33,9;646,405
34;650
34,1;653,605
34,2;657,22
34,3;660,845
34,4;664,48
34,5;668,125
34,6;671,78
34,7;675,445
34,8;679,12
34,9;682,805
35;686,5
35,1;690,205
35,2;693,92
35,3;697,645
35,4;701,38
35,5;705,125
35,6;708,88
35,7;712,645
35,8;716,42
35,9;720,205
36;724
36,1;727,805
36,2;731,62
36,3;735,445
36,4;739,28
36,5;743,125
36,6;746,98
36,7;750,845
36,8;754,72
36,9;758,605
37;762,5
37,1;766,405
37,2;770,32
37,3;774,245
37,4;778,18
37,5;782,125
37,6;786,08
37,7;790,045
37,8;794,02
37,9;798,005
38;802
38,1;806,005
38,2;810,02
38,3;814,045
38,4;818,08
38,5;822,125
38,6;826,18
38,7;830,245
38,8;834,32
38,9;838,405
39;842,5
39,1;846,605
39,2;850,72
39,3;854,845
39,4;858,98
39,5;863,125
39,6;867,28
39,7;871,445
39,8;875,62
39,9;879,805
40;884
40,1;888,205
40,2;892,42
40,3;896,645
40,4;900,88
40,5;905,125
40,6;909,38
40,7;913,645
40,8;917,92
40,9;922,205
41;926,5
41,1;930,805
41,2;935,12
41,3;939,445
41,4;943,78
41,5;948,125
41,6;952,48
41,7;956,845
41,8;961,22
41,9;965,605
42;970
42,1;974,405
42,2;978,82
42,3;983,245
42,4;987,68
42,5;992,125
42,6;996,58
42,7;1001,045
42,8;1005,52
42,9;1010,005
43;1014,5
43,1;1019,005
43,2;1023,52
43,3;1028,045
43,4;1032,58
43,5;1037,125
43,6;1041,68
43,7;1046,245
43,8;1050,82
43,9;1055,405
44;1060
44,1;1064,605
44,2;1069,22
44,3;1073,845
44,4;1078,48
44,5;1083,125
44,6;1087,78
44,7;1092,445
44,8;1097,12
44,9;1101,805
45;1106,5
45,1;1111,205
45,2;1115,92
45,3;1120,645
45,4;1125,38
45,5;1130,125
45,6;1134,88
45,7;1139,645
45,8;1144,42
45,9;1149,205
46;1154
46,1;1158,805
46,2;1163,62
46,3;1168,445
46,4;1173,28
46,5;1178,125
46,6;1182,98
46,7;1187,845
46,8;1192,72
46,9;1197,605
47;1202,5
47,1;1207,405
47,2;1212,32
47,3;1217,245
47,4;1222,18
47,5;1227,125
47,6;1232,08
47,7;1237,045
47,8;1242,02
47,9;1247,005
48;1252
48,1;1257,005
48,2;1262,02
48,3;1267,045
48,4;1272,08
48,5;1277,125
48,6;1282,18
48,7;1287,245
48,8;1292,32
48,9;1297,405
49;1302,5
49,1;1307,605
49,2;1312,72
49,3;1317,845
49,4;1322,98
49,5;1328,125
49,6;1333,28
49,7;1338,445
49,8;1343,62
49,9;1348,805
50;1354
50,1;1359,205
50,2;1364,42
50,3;1369,645
50,4;1374,88
50,5;1380,125
50,6;1385,38
50,7;1390,645
50,8;1395,92
50,9;1401,205
51;1406,5
51,1;1411,805
51,2;1417,12
51,3;1422,445
51,4;1427,78
51,5;1433,125
51,6;1438,48
51,7;1443,845
51,8;1449,22
51,9;1454,605
52;1460
52,1;1465,405
52,2;1470,82
52,3;1476,245
52,4;1481,68
52,5;1487,125
52,6;1492,58
52,7;1498,045
52,8;1503,52
52,9;1509,005
53;1514,5
53,1;1520,005
53,2;1525,52
53,3;1531,045
53,4;1536,58
53,5;1542,125
53,6;1547,68
53,7;1553,245
53,8;1558,82
53,9;1564,405
54;1570
54,1;1575,605
54,2;1581,22
54,3;1586,845
54,4;1592,48
54,5;1598,125
54,6;1603,78
54,7;1609,445
54,8;1615,12
54,9;1620,805
55;1626,5
55,1;1632,205
55,2;1637,92
55,3;1643,645
55,4;1649,38
55,5;1655,125
55,6;1660,88
55,7;1666,645
55,8;1672,42
55,9;1678,205
56;1684
56,1;1689,805
56,2;1695,62
56,3;1701,445
56,4;1707,28
56,5;1713,125
56,6;1718,98
56,7;1724,845
56,8;1730,72
56,9;1736,605
57;1742,5
57,1;1748,405
57,2;1754,32
57,3;1760,245
57,4;1766,18
57,5;1772,125
57,6;1778,08
57,7;1784,045
57,8;1790,02
57,9;1796,005
58;1802
58,1;1808,005
58,2;1814,02
58,3;1820,045
58,4;1826,08
