x;y
0;-100
0,1;-99,999
0,2;-99,996
0,3;-99,991
0,4;-99,984
0,5;-99,975
3,5;-98,775
3,6;-98,704
3,7;-98,631
3,8;-98,556
3,9;-98,479
4;-98,4
4,1;-98,319
4,2;-98,236
4,3;-98,151
4,4;-98,064
4,5;-97,975
4,6;-97,884
4,7;-97,791
4,8;-97,696
4,9;-97,599
5;-97,5
5,1;-97,399
5,2;-97,296
5,3;-97,191
5,4;-97,084
5,5;-96,975
5,6;-96,864
5,7;-96,751
5,8;-96,636
5,9;-96,519
6;-96,4
6,1;-96,279
6,2;-96,156
6,3;-96,031
6,4;-95,904
6,5;-95,775
6,6;-95,644
6,7;-95,511
6,8;-95,376
6,9;-95,239
7;-95,1
7,1;-94,959
7,2;-94,816
7,3;-94,671
7,4;-94,524
7,5;-94,375
7,6;-94,224
9,1;-91,719
9,2;-91,536
9,3;-91,351
9,4;-91,164
9,5;-90,975
9,6;-90,784
9,7;-90,591
9,8;-90,396
9,9;-90,199
10;-90
10,1;-89,799
10,2;-89,596
10,3;-89,391
10,4;-89,184
10,5;-88,975
10,6;-88,764
10,7;-88,551
10,8;-88,336
10,9;-88,119
11;-87,9
11,1;-87,679
11,2;-87,456
11,3;-87,231
11,4;-87,004
11,5;-86,775
11,6;-86,544
11,7;-86,311
11,8;-86,076
11,9;-85,839
12;-85,6
12,1;-85,359
12,2;-85,116
12,3;-84,871
12,4;-84,624
12,5;-84,375
12,6;-84,124
12,7;-83,871
12,8;-83,616
12,9;-83,359
13;-83,1
13,1;-82,839
13,2;-82,576
13,3;-82,311
13,4;-82,044
13,5;-81,775
13,6;-81,504
13,7;-81,231
13,8;-80,956
13,9;-80,679
14;-80,4
14,1;-80,119
14,2;-79,836
14,3;-79,551
14,4;-79,264
14,5;-78,975
14,6;-78,684
14,7;-78,391
14,8;-78,096
14,9;-77,799
15;-77,5
15,1;-77,199
15,2;-76,896
15,3;-76,591
15,4;-76,284
15,5;-75,975
15,6;-75,664
15,7;-75,351
15,8;-75,036
15,9;-74,719
20,2;-59,196
20,3;-58,791
20,4;-58,384
20,5;-57,975
20,6;-57,564
20,7;-57,151
20,8;-56,736
20,9;-56,319
21;-55,9
21,1;-55,479
21,2;-55,056
21,3;-54,631
21,4;-54,204
21,5;-53,775
21,6;-53,344
21,7;-52,911
