x;y
0;0.0
1;841.4709848078965
2;909.2974268256817
3;141.12000805986722
4;
5;-958.9242746631385
6;
7;656.9865987187891
8;989.3582466233818
9;
10;
11;-999.9902065507034
12;-536.5729180004349
13;420.1670368266409
14;990.6073556948703
15;
16;-287.9033166650653
17;-961.3974918795568
18;-750.987246771676
19;
20;912.9452507276277
21;836.655638536056
22;-8.851309290403876
23;-846.2204041751706
24;-905.5783620066239
25;-132.35175009777302
26;762.5584504796027
27;956.375928404503
28;270.90578830786905
29;-663.6338842129676
30;-988.0316240928619
